listing_date;title;company;location;work_type;link
21-Oct-24 04:38;IT Administration Staff;PT. Satya Langgeng Sentosa;West Jakarta;Full time;https://www.jobstreet.co.id/job/79634562
22-Oct-24 23:50;Data Center Technician 3-IT;PT Oracle Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79696820
21-Oct-24 02:33;IT Support;PT Indo World;Bitung;Full time;https://www.jobstreet.co.id/job/79629753
21-Oct-24 02:03;Database Section Head (IT);Private Advertiser;West Jakarta;Full time;https://www.jobstreet.co.id/job/79628851
21-Oct-24 02:53;IT System Analyst;Private Advertiser;South Tangerang;Contract/Temp;https://www.jobstreet.co.id/job/79630420
21-Oct-24 08:55;System Analyst;PT Electronic Data Interchange Indonesia (Member of Pelindo);Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79641852
21-Oct-24 02:33;Software & Information Security Officer;PT Mega Niaga Sejahtera;Bogor;Full time;https://www.jobstreet.co.id/job/79629776
18-Oct-24 07:24;IT Database Engineer;PT Avows Technologies;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79602092
18-Oct-24 05:34;Programmer & IT Network;PT Agres Info Teknologi;North Jakarta;Full time;https://www.jobstreet.co.id/job/79598289
18-Oct-24 01:44;Service Point Engineer (Gorontalo);PT Nusantara Compnet Integrator;Gorontalo;Full time;https://www.jobstreet.co.id/job/79178391
18-Oct-24 02:46;Network Performance Optimization Engineer;PT ZTE Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79592496
18-Oct-24 06:46;System Analyst;PT Lawencon Internasional;South Jakarta;Full time;https://www.jobstreet.co.id/job/79601153
17-Oct-24 02:49;IT System Support Junior Staff - Trading (A-112186);RGF HR Agent Indonesia;West Jakarta;Full time;https://www.jobstreet.co.id/job/79564387
17-Oct-24 03:43;NOC Data Center;PT Karya Solusi Prima Sejahtera;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79567391
17-Oct-24 03:02;IT SUPPORT;PT. Metrodata Electronics, Tbk;Central Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79564967
17-Oct-24 04:58;Network Engineer Freelance;PT Graha Karya Informasi;East Java;Part time;https://www.jobstreet.co.id/job/79569591
17-Oct-24 03:40;IT SUPPORT;PT Kharisma Interplast Pratama;Tangerang Regency;Full time;https://www.jobstreet.co.id/job/79567213
17-Oct-24 08:44;IT Support;PT Java Abadi Gemilang;Jakarta;Full time;https://www.jobstreet.co.id/job/79576142
17-Oct-24 02:11;Network Controller Specialist;PT Motasa Indonesia ( Ladaku );Mojokerto Regency;Full time;https://www.jobstreet.co.id/job/79563195
17-Oct-24 05:03;IT Officer;PT Duta Trada Sarana;Tangerang;Full time;https://www.jobstreet.co.id/job/79569779
18-Oct-24 07:00;IT Production Support;PT Asuransi Jiwa Manulife Indonesia (Dept PB Danamon);Jakarta;Full time;https://www.jobstreet.co.id/job/79612683
16-Oct-24 15:02;Exterro FTK Virtual License;PT Data Sinergitama Jaya;South Jakarta;Casual/Vacation;https://www.jobstreet.co.id/job/79553877
22-Oct-24 12:19;Server Engineer - IT Consultant;RGF HR Agent Recruitment;Jakarta;Full time;https://www.jobstreet.co.id/job/79685843
21-Oct-24 04:20;Senior Cloud Infrastructure Associate;PT Alto Network;Central Java;Full time;https://www.jobstreet.co.id/job/79638025
21-Oct-24 07:00;SAP Technical Architect;PT NTT Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79648203
21-Oct-24 05:30;Telnet Officer,IT,SS;Royal Golden Eagle Group (RGE);Bangkalan Regency;Full time;https://www.jobstreet.co.id/job/79647448
23-Oct-24 05:19;Systems Engineer - 2;Palo Alto Networks;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79707324
21-Oct-24 11:51;(Senior) Operation Technology System Engineer;Frisian Flag;Cikarang;Full time;https://www.jobstreet.co.id/job/79647498
22-Oct-24 05:30;Senior Analyst - Infrastructure;AP Moller - Maersk Group;Jakarta;Full time;https://www.jobstreet.co.id/job/79685923
16-Oct-24 13:48;Helpdesk Engineer - IT;Shopee Internasional Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79553997
18-Oct-24 05:59;Installation Technician;PT. Setyawan Eunike Gemilang;Yogyakarta;Full time;https://www.jobstreet.co.id/job/79605180
23-Oct-24 02:37;MS Engineer (L2);PT NTT Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79702866
23-Oct-24 08:37;IT SISTEM ANALIS;PT. Royal Dparagon Land;Yogyakarta;Full time;https://www.jobstreet.co.id/job/79709918
22-Oct-24 01:48;Microsoft Security Engineer (L1);PT NTT Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79662639
