listing_date;title;company;location;work_type;link
01-Oct-24 06:54;Project Manager - IT Consulting (A-109666);RGF HR Agent Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79204744
01-Oct-24 07:04;System Analyst;PT XSIS MITRA UTAMA - Recruitment Center;South Jakarta;Full time;https://www.jobstreet.co.id/job/79205047
30-Sep-24 03:50;IT SOC Analyst (Security Operation Center);PT CIMB Niaga Auto Finance;South Tangerang;Full time;https://www.jobstreet.co.id/job/79170243
30-Sep-24 06:55;Cyber Security Analyst;PT Packet Systems Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79176473
30-Sep-24 08:08;ANALYST COMPLIANCE (STOCK TAKING);PT Amman Mineral Nusa Tenggara;West Sumbawa;Full time;https://www.jobstreet.co.id/job/79178531
30-Sep-24 08:58;IT staff;PT Peoplyee Tech Indonesia;Surabaya;Full time;https://www.jobstreet.co.id/job/79179819
30-Sep-24 18:22;IT Supervisor;PT. Dassa Cipta Daya;Kulon Progo;Full time;https://www.jobstreet.co.id/job/79187475
30-Sep-24 10:59;Antifraud Jr. Analyst;PT Home Credit Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79183631
30-Sep-24 11:15;Ops. Risk Management Jr. Specialist;PT Home Credit Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79183735
30-Sep-24 10:33;IT Operation;KAI Properti;Jakarta;Full time;https://www.jobstreet.co.id/job/79183393
01-Oct-24 02:37;ERP Supervisor;PT Tangkas Cipta Optimal;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79195027
30-Sep-24 08:55;Cyber Security Solution Head;PT Visionet Data Internasional;Tangerang;Full time;https://www.jobstreet.co.id/job/79179662
30-Sep-24 10:16;IT Database & Storage Technology Officer;PT CIMB Niaga Auto Finance;Tangerang;Full time;https://www.jobstreet.co.id/job/79183140
30-Sep-24 08:58;IT Japanese Interpreter;PT Nusantara Compnet Integrator;West Jakarta;Full time;https://www.jobstreet.co.id/job/78648997
29-Sep-24 01:53;Software/Cybersecurity Development;Private Advertiser;East Jakarta;Full time;https://www.jobstreet.co.id/job/79156723
04-Oct-24 14:26;IT Advisory Intern;Grantt Thornton Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79308917
04-Oct-24 08:00;Analyst, Compliance Department;The Bank of Tokyo Mitsubishi-UFJ;Jakarta;Full time;https://www.jobstreet.co.id/job/79308378
04-Oct-24 14:15;Head of Credit Risk and Underwriting;Xendit;Jakarta;Full time;https://www.jobstreet.co.id/job/79308682
04-Oct-24 08:14;Project Manager - IT;Shopee Internasional Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79304011
04-Oct-24 11:17;IT Data Centre Operations;PT NTT Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79306326
04-Oct-24 07:30;IT Onsite Support Technican – Sankt Ingbert (m/f/d);DXC Technology;East Nusa Tenggara;Full time;https://www.jobstreet.co.id/job/79308639
03-Oct-24 18:40;Solutions Consultant - FSI, Indonesia;Palo Alto Networks;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79273305
02-Oct-24 08:52;Chubb Life - IT Core Application Support Officer;PT Chubb General Insurance Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79238690
02-Oct-24 09:24;IT Supervisor;PT Soejasch Bali;Denpasar;Contract/Temp;https://www.jobstreet.co.id/job/79235892
02-Oct-24 09:03;IT Supervisor;PT Soejasch Bali;Denpasar;Full time;https://www.jobstreet.co.id/job/79238885
01-Oct-24 08:28;Supervisor MIS (Management Information System);PT Hikmah Sejahtera;Surabaya;Full time;https://www.jobstreet.co.id/job/79211188
01-Oct-24 15:52;Chubb Life - IT Core Application Support Officer;PT Chubb General Insurance Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79214719
02-Oct-24 00:00;Server to Ensure Best Quality Service;The Basket;Badung;Full time;https://www.jobstreet.co.id/job/79225438
05-Oct-24 01:59;IT BA & QA Senior;PT. Pilar Teknologi Solusi;South Jakarta;Full time;https://www.jobstreet.co.id/job/79313436
